,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,views_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,views_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
468,937,49,38,6.843749949006225,3.912023005428146,3.6635616461296463,3.912023005428146,1.732867951399863,6.843749949006225,6.760414691083428,3.4339872044851463,7.407924322559599,6.843749949006225,3.912023005428146,3.6635616461296463,3.912023005428146,1.732867951399863,6.843749949006225,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,0,1,2,0.9113620464586658,0,1.0,True,0,0
469,51,0,0,3.951243718581427,0.0,0.0,0.0,0.0,3.951243718581427,3.258096538021482,3.4339872044851463,6.761572768804055,3.951243718581427,0.0,0.0,0.0,0.0,3.951243718581427,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,1,0,0,2,0.48114325124455587,0,1.0,True,0,0
470,62,0,0,4.143134726391533,0.0,0.0,0.0,0.0,4.143134726391533,2.4849066497880004,3.258096538021482,8.038834757787749,4.143134726391533,0.0,0.0,0.0,0.0,4.143134726391533,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,1,0,0,1,0.3087287445407795,0,0.4,False,0,1
471,101,0,0,4.624972813284271,0.0,0.0,0.0,0.0,4.624972813284271,2.9444389791664403,2.5649493574615367,5.030437921392435,4.624972813284271,0.0,0.0,0.0,0.0,4.624972813284271,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7276949655740154,0.73125,0,0,0,1,0,0,2,0.5841633257042537,0,1.0,False,0,0
472,136298,3645,135,11.822606280900557,8.201385955238608,4.912654885736052,4.023594781085251,1.732867951399863,11.21930989847643,5.924255797414532,3.431403223719222,6.418364935936212,11.822606280900557,8.201385955238608,4.912654885736052,4.023594781085251,1.732867951399863,11.21930989847643,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.9215805039779899,1,1.0,True,0,0
473,79,2,1,4.382026634673881,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.382026634673881,6.522092798170152,3.4330189939851112,6.075346031088684,4.382026634673881,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.382026634673881,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,0,1,2,1.0717702436065633,0,1.0,True,0,0
474,127,2,1,4.852030263919617,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.852030263919617,5.5093883366279774,3.4330189939851112,6.186208623900494,4.852030263919617,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.852030263919617,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.8891547510806431,1,1.0,False,0,0
475,37,0,0,3.6375861597263857,0.0,0.0,0.0,0.0,3.6375861597263857,6.803505257608338,3.4330189939851112,6.679599185844383,3.6375861597263857,0.0,0.0,0.0,0.0,3.6375861597263857,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,0,1,2,1.0170273387985618,0,1.0,True,0,0
476,5,0,0,1.791759469228055,0.0,0.0,0.0,0.0,1.791759469228055,3.367295829986474,3.2180755046974316,8.026170194946426,1.791759469228055,0.0,0.0,0.0,0.0,1.791759469228055,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,1,0,0,2,0.4190174857302064,0,1.0,False,0,1
477,210,0,0,5.351858133476067,0.0,0.0,0.0,0.0,5.351858133476067,2.70805020110221,3.4339872044851463,7.824046010856292,5.351858133476067,0.0,0.0,0.0,0.0,5.351858133476067,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8713849740679873,0.75,1,0,0,1,0,0,1,0.34567708657179685,0,0.4,True,0,0
478,103,0,0,4.6443908991413725,0.0,0.0,0.0,0.0,4.6443908991413725,5.209486152841421,3.4339872044851463,6.311734809152915,4.6443908991413725,0.0,0.0,0.0,0.0,4.6443908991413725,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7636022569985758,1.7647058823529411,0,0,0,0,1,0,2,0.8240595833439381,1,1.0,True,0,0
479,187947,982,54,12.143920607807749,6.890609120147166,4.007333185232471,4.023594781085251,1.732867951399863,11.21930989847643,5.905361848054571,3.4330189939851112,7.854381210652365,12.143920607807749,6.890609120147166,4.007333185232471,4.023594781085251,1.732867951399863,11.21930989847643,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.750899745304273,1,1.0,True,0,0
480,3607,8,0,8.190908881182514,2.1972245773362196,0.0,2.1972245773362196,0.0,8.190908881182514,5.135798437050262,3.4330189939851112,6.180016653652572,8.190908881182514,2.1972245773362196,0.0,2.1972245773362196,0.0,8.190908881182514,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.829690568606105,1,1.0,True,0,0
481,2567,12,0,7.850882664809852,2.5649493574615367,0.0,2.5649493574615367,0.0,7.850882664809852,5.793013608384144,3.258096538021482,7.052721049232323,7.850882664809852,2.5649493574615367,0.0,2.5649493574615367,0.0,7.850882664809852,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.8202240422639673,1,1.0,True,0,1
482,168,4,0,5.1298987149230735,1.6094379124341005,0.0,1.6094379124341005,0.0,5.1298987149230735,7.331060305218632,3.4339872044851463,7.809135398120538,5.1298987149230735,1.6094379124341005,0.0,1.6094379124341005,0.0,5.1298987149230735,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,0,1,2,0.9375794038533694,0,1.0,True,0,0
