,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
39,931811,1887,843,13.744886356581974,7.543273346705446,6.738152494595957,4.023594781085251,1.732867951399863,0.5953174435112948,0.5221162484473696,1.640270677106565,3.3951925740221394,4.096544394034355,5.9981045679009295,2.4473872072079064,2.3285137093747577,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.3607392725144159,1,1.0,False,0,0
40,282,3,0,5.645446897643238,1.3862943611198906,0.0,1.3862943611198906,0.0,0.6084904514534752,0.5221162484473696,-0.8846355876490732,0.12065948960533504,0.179197936182964,-0.44926769600141864,0.31296430374897116,-0.5569777681091652,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,-0.6957074009405819,1,1.0,False,0,0
41,2200,7,0,7.696667081526462,2.0794415416798357,0.0,2.0794415416798357,0.0,1.323493461514687,-0.0724984368883118,0.08998255360408255,0.9499500089802689,0.6202092923842948,-0.44926769600141864,0.873942949357561,-0.5569777681091652,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,13.23724403715015,1,1.0,False,0,1
42,153,0,0,5.0369526024136295,0.0,0.0,0.0,0.0,1.0664664310131633,0.5221162484473696,-0.26065474877810224,-0.12534947330002125,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8363552831454442,0.5727923627684964,1,0,0,0,1,0,2,-4.254722626289745,1,1.0,True,0,0
43,95,0,0,4.564348191467836,0.0,0.0,0.0,0.0,-0.7392913144860644,-0.0724984368883118,0.010554339261210237,-0.31641933527366595,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8189195531524088,0.75,0,0,0,1,0,0,2,-35.96765165208891,0,1.0,False,0,1
44,22,0,0,3.1354942159291497,0.0,0.0,0.0,0.0,1.6555473283455173,0.5254074907218134,0.42538888699911165,-0.8940925976545878,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8713849740679873,0.75,1,0,0,0,0,1,2,3.8024565573004514,0,1.0,False,0,0
45,4197,11,3,8.342363500380579,2.4849066497880004,1.3862943611198906,2.4849066497880004,1.3862943611198906,0.41803895485664483,-0.0724984368883118,-0.7045612568612597,1.2109994676182743,0.878184398154254,0.8772021072060492,1.2020944207439292,1.7514154138779734,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7528783966342284,0.75,0,0,0,0,1,0,2,-0.6018748536965245,1,1.0,False,0,1
46,175,5,0,5.170483995038151,1.791759469228055,0.0,1.791759469228055,0.0,0.1579549945736266,0.5221162484473696,1.484326995450225,-0.07136389007861894,0.4371730419529231,-0.44926769600141864,0.6411157751353391,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8853456309397167,0.5234375,1,1,0,0,1,0,2,0.10570309915738117,1,1.0,False,0,0
47,270,3,0,5.602118820879701,1.3862943611198906,0.0,1.3862943611198906,0.0,0.015829082356142436,-0.0724984368883118,-0.18457112839036346,0.10314232418103268,0.179197936182964,-0.44926769600141864,0.31296430374897116,-0.5569777681091652,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8147455117496272,0.8,0,0,0,0,1,0,2,-0.09067411376723519,1,1.0,True,0,1
48,105,0,0,4.663439094112067,0.0,0.0,0.0,0.0,0.12909302349008578,-0.0724984368883118,0.01995500511513085,-0.276357743268659,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,4.309564394795527,1,0.4,False,0,1
49,72657,85,17,11.193518779935308,4.454347296253507,2.8903717578961645,4.023594781085251,1.732867951399863,0.14076049029698182,-0.0724984368883118,-0.5468735845822319,2.3636968041491313,2.131230958560287,2.3163721020251233,2.4473872072079064,2.3285137093747577,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,-0.26218553927646593,1,1.0,False,0,1
50,176,3,0,5.176149732573829,1.3862943611198906,0.0,1.3862943611198906,0.0,-0.4311518008350708,-0.0724984368883118,-0.08064853298122662,-0.06907328156154152,0.179197936182964,-0.44926769600141864,0.31296430374897116,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,6.102770753210692,0,1.0,False,0,1
51,24,0,0,3.218875824868201,0.0,0.0,0.0,0.0,-1.4542943245472761,-0.5760820072345341,-1.0738735198654552,-0.8603821367656557,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,1,0,0,1,1.3669804703205661,0,0.4,False,0,0
52,40,0,0,3.713572066704308,0.0,0.0,0.0,0.0,1.6041061920246031,-1.7228873221728644,-0.013980616965327729,-0.6603807392811386,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,0,1,2,-402.9792883858986,0,1.0,True,0,0
53,5,0,0,1.791759469228055,0.0,0.0,0.0,0.0,1.055201303633318,-0.0724984368883118,-0.190989325311483,-1.43735289450107,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,-5.830185298593244,1,1.0,False,0,1
54,12084,57,6,9.399720293137584,4.060443010546419,1.9459101490553132,4.023594781085251,1.732867951399863,1.0645996672599596,0.5254074907218134,-1.3354416989972777,1.6384796429401016,1.8806113670431346,1.4126680694962146,2.4473872072079064,2.3285137093747577,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,-0.8032036928258329,1,1.0,False,0,0
55,217061,313,10,12.287938305999758,5.749392985908253,2.3978952727983707,4.023594781085251,1.732867951399863,0.5614242486443454,-0.0724984368883118,0.3833786293302876,2.80616112090808,2.955197169424697,1.8451480931903355,2.4473872072079064,2.3285137093747577,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.837122695296838,0.5660377358490566,1,0,0,0,1,0,2,1.427185430993415,1,1.0,False,0,1
56,79428,949,58,11.282618819846302,6.856461984594587,4.07753744390572,4.023594781085251,1.732867951399863,0.7628207252670505,0.5221162484473696,1.0585814818274446,2.399719177054137,3.659564169986832,3.452306488011972,2.4473872072079064,2.3285137093747577,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.7138629465696013,1,1.0,True,0,0
